Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
383,network180,MI,Thresholds Inc.,1100,Theft,Paper,2014-03-24,Unknown detailed,2011-09-16,Unknown Date,2011,Theft
384,Premier Imaging,NC,None,551,Unknown,Paper,2014-01-23,"A newly hired employee impermissibly took patient registration documents home. The records taken included the protected health information of 551 patients.  The information at issue included names, addresses, birth dates, social security numbers, and driver's license numbers. As a result, the CE terminated the employee, provided notice to the affected individuals, amended registration procedures, implemented additional safeguards for such information, and offered identity theft protection to the affected individuals.

",2011-09-14,Unknown Date,2011,Unknown
385,"The Good Samaritan Hospital of Cincinnati, Ohio",OH,"Pitney Bowes Management Services, Inc.",1089,Theft,Desktop Computer,2014-03-24,Unknown detailed,2011-09-03,Unknown Date,2011,Theft
386,Foundation Medical Partners,NH,None,771,Theft,Paper,2014-06-02,"Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter.",2011-11-19,2011-12-01,2011,Theft
387,Delta Dental of California,CA,None,11646,Other,Paper,2014-01-23,Unknown detailed,2011-12-22,2011-12-23,2011,Other
388,Muskogee Regional Medical Center,OK,None,844,Loss,Other,2014-01-23,Unknown detailed,2011-12-05,Unknown Date,2011,Loss
389,Department of Medical Assistance Services,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,Unknown detailed,2011-11-02,2011-11-16,2011,"Unauthorized Access/Disclosure, Other"
390,TRICARE Management Activity (TMA),VA,Science Applications International Corporation (SA,4900000,Loss,Other,2014-01-23,Unknown detailed,2011-09-13,Unknown Date,2011,Loss
391,"Rape & Brooks Orthodontics, P.C.",AL,None,20744,Theft,"Desktop Computer, Network Server, Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2011-02-03,Unknown Date,2011,Theft
392,County of Los Angeles,CA,None,667,Theft,Laptop,2014-01-23,Unknown detailed,2011-02-23,Unknown Date,2011,Theft
393,EISENHOWER MEDICAL CENTER,CA,None,514330,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-03-11,Unknown Date,2011,Theft
394,Catholic Social Services,AK,Trisha Elaine Cordova,1700,Theft,Laptop,2014-06-30,"A personal laptop computer containing the electronic protected health information (ePHI) of 1,700 individuals and approximately 493 adoption home studies was stolen from a contractor's vehicle.  The ePHI involved included names, addresses, phone numbers, dates of birth, driver's license numbers, health information, and social security numbers.  At the time of the breach, the covered entity (CE) did not have a business associate (BA) contract with the contractor.  Following OCR's investigation, the CE developed policies and procedures for obtaining BA contracts as required by the Privacy Rule and verified that the contractor no longer had a business relationship with the CE.  OCR obtained assurances that breach notification was provided to the affected individuals, HHS, and the media.",2011-02-01,Unknown Date,2011,Theft
395,"Park Avenue Obstetrics & Gynecology, PC",AZ,None,635,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2011-03-25,Unknown Date,2011,Theft
396,"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,None,10000,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2011-03-01,Unknown Date,2011,Theft
397,Anthem Blue Cross Blue Shield (IN),IN,Connextions c/o Anthem BCBS,528,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,Unknown detailed,2011-11-01,2012-10-01,2011,"Theft, Unauthorized Access/Disclosure"
398,Washington State Department of Social and Health Services,WA,None,3950,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-07-01,Unknown Date,2011,Unauthorized Access/Disclosure
399,St. Francis Hospital,DE,None,948,Loss,"Other Portable Electronic Device, Other",2014-06-10,Unknown detailed,2011-06-01,Unknown Date,2011,Loss
400,"Advanced Diagnostic Imaging, P.C.",TN,None,705,Theft,Laptop,2014-04-23,Unknown detailed,2011-05-07,Unknown Date,2011,Theft
401,University of Missouri Health Care,MO,None,1288,Unknown,Paper,2014-01-23,Unknown detailed,2011-06-14,Unknown Date,2011,Unknown
402,Accendo,AZ,None,175350,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-01-01,Unknown Date,2011,Unauthorized Access/Disclosure
403,Ohio Health Plans,OH,"Area Agency on Aging, Ohio District 5",78042,Theft,Laptop,2014-01-23,Unknown detailed,2011-06-03,Unknown Date,2011,Theft
404,UCLA Health System,CA,None,2761,Theft,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2011-09-06,Unknown Date,2011,Theft
405,Logan County Emergeny Ambulance Service Authority,WV,None,12563,"Theft, Loss",Laptop,2014-01-23,Unknown detailed,2011-10-01,Unknown Date,2011,"Theft, Loss"
406,Lawrence Memorial Hospital,KS,"Mid Continent Credit Services, Inc.",8275,"Unauthorized Access/Disclosure, Other",Other,2014-04-23,Unknown detailed,2011-09-20,2011-10-28,2011,"Unauthorized Access/Disclosure, Other"
407,Sutter Medical Foundation,AL,None,943434,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-10-15,Unknown Date,2011,Theft
408,Medcenter One,ND,None,650,Theft,Laptop,2014-01-23,Unknown detailed,2011-10-21,Unknown Date,2011,Theft
409,Dallas County Hospital District dba Parkland Health & Hospital System,TX,None,2464,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-01-23,Unknown detailed,2011-09-05,Unknown Date,2011,Unauthorized Access/Disclosure
410,University of Kentucky UK HealthCare,KY,None,878,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2011-09-25,Unknown Date,2011,Loss
411,State of Tennessee Sponsored Group Health Plan,TN,None,1770,Unauthorized Access/Disclosure,Paper,2014-01-23,"An equipment operator at the state's postal facility set the machine to insert four (4) pages per envelope instead of one (1) page per envelope, which caused the PHI of four individuals to be sent to one address per envelope.  The error affected approximately 1770 enrollees. The letters contained information such as names, addresses, birth dates, and social security numbers. As a result, the CE retrained the employee, submitted a breach report to HHS, provided notice to the affected individuals, notified the media, created a toll-free number for information regarding the incident, posted notice on its website, modified policies to remove the SSN on templates for future mailings, and offered identity theft protection to the affected individuals. Following the OCR investigation, the CE provided reviewed its policies and procedures to ensure adequate safeguards are in place. 

",2011-10-06,Unknown Date,2011,Unauthorized Access/Disclosure
412,Cleveland Clinic Florida,FL,None,772,Loss,Other,2014-04-23,Unknown detailed,2011-10-03,Unknown Date,2011,Loss
413,"Jay C. Platt, DDS",IN,None,10705,Theft,Other,2014-03-24,Unknown detailed,2011-10-06,Unknown Date,2011,Theft
414,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,None,8000,Theft,"Other, Paper",2014-01-23,Unknown detailed,2011-01-01,Unknown Date,2011,Theft
415,"Robert B. Miller, MD",CA,None,620,Theft,Laptop,2014-01-23,Unknown detailed,2011-04-01,Unknown Date,2011,Theft
416,Imaging Center of Garland,TX,None,1031,Improper Disposal,Other,2014-01-23,Unknown detailed,2011-03-15,Unknown Date,2011,Improper Disposal
417,New York State Department of Health,NY,St. Mary's Hospital for Children,550,Theft,Paper,2014-06-03,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2011-04-17,Unknown Date,2011,Theft
418,St. Mary's Hospital for Children,NY,None,550,Theft,Paper,2014-06-02,"A laptop computer containing the protected health information (PHI) of approximately 550 individuals was stolen from the vehicle of the business associate's (BA) workforce member.  The PHI included names, dates of birth, gender identities, names of nursing homes, and Medicaid numbers of the covered entity's (CE) patients.  Following the breach, the BA terminated the employee who was involved in the breach and provided credit monitoring services to the affected individuals.  The BA also re-trained its staff.  Following OCR's investigation, the CE and the BA reviewed the BA's contractual obligations relating to PHI during an in-person meeting.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2011-04-17,Unknown Date,2011,Theft
419,Medicare Fee-for-Service Program,MD,"Cahaba Government Benefit Administrators, LLC",13412,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-04-11,Unknown Date,2011,Unauthorized Access/Disclosure
420,"Paul C. Brown, MD, PS",WA,None,4693,Theft,Other,2014-02-14,Unknown detailed,2011-10-14,2011-10-17,2011,Theft
421,Aegis Sciences Corporation,TN,None,2185,Theft,"Laptop, Other Portable Electronic Device",2014-04-23,"OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies.",2011-11-22,Unknown Date,2011,Theft
422,"Soundpath Health, Inc",WA,None,7581,Theft,Laptop,2014-02-14,Unknown detailed,2011-11-22,Unknown Date,2011,Theft
423,Concentra Health,TX,None,870,Theft,Laptop,2014-01-23,Unknown detailed,2011-11-30,Unknown Date,2011,Theft
424,Sleep HealthCenters LLC,MA,None,2988,Theft,Laptop,2014-03-13,Unknown detailed,2011-11-23,Unknown Date,2011,Theft
425,Smile Designs,FL,None,1670,Theft,"Desktop Computer, Network Server",2014-01-23,Unknown detailed,2011-12-01,Unknown Date,2011,Theft
426,PBH,NC,Alamance Caswell Local Management Entity,50000,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",2014-01-23,Unknown detailed,2011-11-15,Unknown Date,2011,"Unauthorized Access/Disclosure, Other"
427,"CardioNet, Inc",PA,None,1300,Theft,Laptop,2014-01-23,Unknown detailed,2011-11-10,Unknown Date,2011,Theft
428,"MDwise, Inc.",IN,RightNow Technologies,2700,Unauthorized Access/Disclosure,Other,2014-03-24,Unknown detailed,2011-02-10,Unknown Date,2011,Unauthorized Access/Disclosure
429,Fairview Health Services,MN,Accretive Health,14000,Theft,Laptop,2014-01-23,Unknown detailed,2011-07-25,Unknown Date,2011,Theft
430,Loma Linda University Medical Center (LLUMC),CA,None,1366,Other,Paper,2014-01-23,Unknown detailed,2011-12-19,Unknown Date,2011,Other
431,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",1700,Other,Other,2014-03-24,Unknown detailed,2011-12-29,Unknown Date,2011,Other
432,"Medco Health Solutions, Inc.",NJ,None,1287,Theft,Paper,2014-06-20," 

The covered entity (CE), Medco Health Solutions, mailed letters with incorrect addresses after a programming code in its mailing software caused corruption of its data.  The mailing contained the protected health information (PHI) of 4,341 individuals and included names, medication name and prescription number.  The CE provided breach notification to HHS, the media, and affected individuals.  Upon discovery of the breach, the CE immediately ceased using the update to its mailing software system.  As a result of OCR's investigation, the CE corrected the update to its mailing software system and established manual and automated quality control processes.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.

",2011-11-30,Unknown Date,2011,Theft
433,"Goshen Health System, Inc.",IN,None,660,Hacking/IT Incident,Other,2014-01-23,Unknown detailed,2011-12-22,Unknown Date,2011,Hacking/IT Incident
434,Georgetown University Hospital,DC,None,1549,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-11-01,Unknown Date,2011,Unauthorized Access/Disclosure
435,Speare Memorial Hospital,NH,None,5960,Theft,Laptop,2014-03-13,Unknown detailed,2011-04-02,Unknown Date,2011,Theft
436,Methodist Charlton Medical Center,TX,None,1500,Theft,Laptop,2014-01-23,"An unencrypted laptop was stolen from a locked office in the hospital.  The laptop contained the PHI of 1523 patients. The protected health information involved in the breach contained demographic and clinical data. Following the breach, the CE filed a police report, notified affected patients and notified the media. Additionally, the CE expanded its encryption policy to include more laptops and implemented additional physical safeguards.

",2011-04-16,Unknown Date,2011,Theft
437,Drs Edalji and Komer,MA,None,563,Theft,Laptop,2014-01-23,Unknown detailed,2011-04-12,Unknown Date,2011,Theft
438,Reid Hospital & Health Care Services,IN,None,22001,Theft,Laptop,2014-01-23,Unknown detailed,2011-04-02,Unknown Date,2011,Theft
439,Union Security Insurance Company,MO,None,850,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2011-03-24,Unknown Date,2011,Unauthorized Access/Disclosure
440,"MMM Healthcare, Inc.",PR,None,32390,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-03-08,Unknown Date,2011,Theft
441,PMC Medicare Choice,PR,None,24361,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-03-08,Unknown Date,2011,Theft
442,CVS CAREMARK,AZ,None,654,"Theft, Unauthorized Access/Disclosure",Paper,2014-04-23,Unknown detailed,2011-01-17,Unknown Date,2011,"Theft, Unauthorized Access/Disclosure"
443,"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,"Jeremaih J. Twomey, F.A.C.P., P.A.",2559,Theft,Other,2014-01-23,Unknown detailed,2011-12-31,Unknown Date,2011,Theft
444,Anchorage Community Mental Health Services Inc.,AK,None,2743,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2011-12-20,2012-01-04,2011,Unauthorized Access/Disclosure
445,Flex Physical Therapy,WA,None,3100,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-12-30,Unknown Date,2011,Theft
446,Metro Community Provider Network,CO,None,3200,"Hacking/IT Incident, Other",E-mail,2014-01-23,Unknown detailed,2011-12-05,Unknown Date,2011,"Hacking/IT Incident, Other"
447,University of Miami ,FL,None,1219,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2011-11-24,Unknown Date,2011,Theft
448,UnitedHealth Group health plan single affiliated covered entity,MN,None,6678,Other,Paper,2014-03-24,Unknown detailed,2011-12-15,Unknown Date,2011,Other
449,"Triumph, LLC",NC,None,2000,Theft,Laptop,2014-01-23,Unknown detailed,2011-12-13,Unknown Date,2011,Theft
450,Chicago Musculoskeletal Institute/Metro Orthopedics,IL,None,750,Other,Network Server,2014-03-24,Unknown detailed,2011-12-31,Unknown Date,2011,Other
451,UnitedHealth Group health plan single affiliated covered entity,MN,None,3537,Unauthorized Access/Disclosure,Other,2014-03-24,Unknown detailed,2011-06-28,Unknown Date,2011,Unauthorized Access/Disclosure
452,MidState Medical Center,CT,Hartford Hospital,93500,Loss,Other,2014-01-23,Unknown detailed,2011-02-14,Unknown Date,2011,Loss
453,"Patient Care Services at Saint Francis, Inc.",OK,None,84000,Theft,Network Server,2014-03-13,Unknown detailed,2011-01-13,Unknown Date,2011,Theft
454,Union Security Insurance Company,MO,None,935,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2011-02-18,Unknown Date,2011,Unauthorized Access/Disclosure
455,Oklaholma State Dept. of Health,OK,None,132940,Theft,"Laptop, Paper",2014-04-23,Unknown detailed,2011-04-06,Unknown Date,2011,Theft
456,Aiken Community Based Outpatient Clinic,SC,None,2717,Improper Disposal,Paper,2014-01-23,Unknown detailed,2011-02-16,Unknown Date,2011,Improper Disposal
457,"Health Net, Inc.",CA,IBM,1900000,Unknown,Other,2014-01-23,Unknown detailed,2011-01-21,Unknown Date,2011,Unknown
458,Fairview Health Services,MN,None,1215,Loss,Paper,2014-01-23,Unknown detailed,2011-02-19,Unknown Date,2011,Loss
459,Time Insurance Company,WI,"Healthcare Solutions Team, LLC",675,Unauthorized Access/Disclosure,Other,2014-04-23,Unknown detailed,2011-02-01,Unknown Date,2011,Unauthorized Access/Disclosure
460,Ferris State University - MI College of Optometry,MI,None,3947,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2011-12-01,Unknown Date,2011,Hacking/IT Incident
461,"Omnicare, Inc",KY,None,8845,Theft,Laptop,2014-01-23,Unknown detailed,2011-01-19,Unknown Date,2011,Theft
462,University of Missouri Health Plan,MO,"Coventry Health Care, Inc.",765,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-01-10,Unknown Date,2011,Unauthorized Access/Disclosure
463,NYU School of Medicine Faculty Group Practice,NY,None,670,Theft,Desktop Computer,2014-06-19,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 670 individuals was stolen from the covered entity (CE), NYU Langone Medical Center.  The ePHI included names, diagnoses, the results of diagnostic tests, and clinical information.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE directed staff to store ePHI on network servers and not on desktops.  In addition, the CE improved physical security by installing a locking device to secure the desktop computer and a latch guard on the office door.  The CE retrained all staff on its policies and procedures for HIPAA and HITECH compliance.",2011-01-27,Unknown Date,2011,Theft
464,Applegate Valley Family Medicine,OR,Dr. Trandinh,2300,"Theft, Unauthorized Access/Disclosure",Laptop,2014-01-23,Unknown detailed,2011-12-01,2011-12-17,2011,"Theft, Unauthorized Access/Disclosure"
465,"CardioNet, Inc.",PA,None,728,Theft,Laptop,2014-01-23,Unknown detailed,2011-12-29,Unknown Date,2011,Theft
466,Presbyterian Healthcare Services,NM,"Beth Barrett Consulting, LLC",7000,Theft,Laptop,2014-03-13,Unknown detailed,2011-12-29,Unknown Date,2011,Theft
467,Memorial Healthcare System,FL,None,9497,Other,Other,2014-01-23,Unknown detailed,2011-08-01,2012-02-12,2011,Other
468,Genesis Clinical Laboratory,IL,None,1070,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,Unknown detailed,2011-03-10,Unknown Date,2011,Hacking/IT Incident
469,Kaiser Permanente Northern CA Department of Research,CA,None,5178,Hacking/IT Incident,Network Server,2014-06-02,Unknown detailed,2011-10-18,Unknown Date,2011,Hacking/IT Incident
470,Options Counseling Center,NJ,None,2828,"Theft, Unauthorized Access/Disclosure",Paper,2014-06-18,Unknown detailed,2011-05-01,Unknown Date,2011,"Theft, Unauthorized Access/Disclosure"
471,Jackson Health System,FL,None,566,Other,Paper,2014-01-23,Unknown detailed,2011-05-26,2012-02-18,2011,Other
472,Community Action partnership of Natrona County,WY,None,15000,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2011-02-23,Unknown Date,2011,Hacking/IT Incident
473,"Keith & Fisher, DDS, PA",NC,None,6000,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2011-02-16,Unknown Date,2011,Hacking/IT Incident
474,MacNeal Hospital,IL,None,845,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,Unknown detailed,2011-03-10,Unknown Date,2011,Hacking/IT Incident
475,West Lake Hospital ,IL,None,686,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,Unknown detailed,2011-03-10,Unknown Date,2011,Hacking/IT Incident
476,Phoenix Health Plan,AZ,None,9393,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-04-23,Unknown detailed,2011-03-10,Unknown Date,2011,Hacking/IT Incident
477,MacNeal Physician Group,IL,None,532,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,Unknown detailed,2011-03-10,Unknown Date,2011,Hacking/IT Incident
478,Baptist Health System,TX,None,678,Unauthorized Access/Disclosure,Electronic Medical Record,2014-03-13,Unknown detailed,2011-08-14,Unknown Date,2011,Unauthorized Access/Disclosure
479,South Miami Hospital,FL,None,834,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2011-06-01,Unknown Date,2011,Unauthorized Access/Disclosure
480,Empire Blue Cross Blue Shield,IN,Connextions c/o Empire BCBS,2608,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,Unknown detailed,2011-11-01,2012-10-01,2011,"Theft, Unauthorized Access/Disclosure"
481,Anthem Blue Cross Blue Shield (OH),IN,Connextions c/o Anthem BCBS,1678,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,Unknown detailed,2011-11-01,2012-10-01,2011,"Theft, Unauthorized Access/Disclosure"
482,Richard Switzer MD PC,MI,None,4100,Other,Laptop,2014-03-24,Unknown detailed,2011-11-29,Unknown Date,2011,Other
483,"Coastal Behavioral Healthcare, Inc.",FL,None,4907,Theft,Paper,2014-01-23,Unknown detailed,2011-04-11,Unknown Date,2011,Theft
484,"First Step Counseling, Inc.",NJ,None,638,Theft,Paper,2014-06-03,"Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. ",2011-05-01,2011-08-05,2011,Theft
485,"WYATT DENTAL GROUP, LLC",LA,None,10271,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,Unknown detailed,2011-11-04,2012-04-15,2011,"Theft, Unauthorized Access/Disclosure"
486,Memorial Healthcare System,FL,None,105646,Theft,Electronic Medical Record,2014-01-23,Unknown detailed,2011-01-01,2012-07-05,2011,Theft
487,Sierra Plastic Surgery,NV,None,800,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,Unknown detailed,2011-08-19,2011-09-20,2011,"Unauthorized Access/Disclosure, Hacking/IT Incident"
488,Fairview Health Services,MN,Accretive Health,623,Theft,Laptop,2014-03-24,Unknown detailed,2011-07-25,Unknown Date,2011,Theft
489,UnitedHealth Group health plan single affiliated covered entity,MN,None,19100,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2011-06-28,2011-12-12,2011,Unauthorized Access/Disclosure
490,awklein a med corp,CA,David Charles Rish,2000,Theft,Other,2014-01-23,Unknown detailed,2011-02-01,Unknown Date,2011,Theft
491,Rhinebeck Health Center/Center for Progressive Medicine,NY,None,6745,Theft,"Desktop Computer, Network Server",2014-06-03,"The CE's network server and two local computers were hacked and compromised by a computer virus which resulted in the disclosure of electronic protected health information (ePHI) of 6,745 individuals.  The ePHI included names, insurance numbers, diagnoses, medical histories, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE shut down all computer and email systems to prevent unauthorized access to its network and core files.  In addition, the CE decommissioned the previously used server, deactivated the network router, disabled network access to ePHI, and discontinued the previously utilized backup.  As a result of OCR's investigation, the CE deployed a new real-time firewall and intrusion detection system and implemented new measures for software management.  In addition, the CE installed a new network server, deployed a new router with security subscription to actively monitor internal network traffic and external threat patterns, and implemented a centralized antivirus software system.",2011-11-15,2011-12-14,2011,Theft
492,Independence Physical Therapy,CT,None,925,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-08-01,Unknown Date,2011,Theft
493,"Safe Ride Services, Inc",AZ,None,42000,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,Unknown detailed,2011-08-31,Unknown Date,2011,"Unauthorized Access/Disclosure, Hacking/IT Incident"
494,IntraCare North Hospital,TX,None,750,Theft,Paper,2014-01-23,Unknown detailed,2011-03-15,2011-08-18,2011,Theft
495,"San Jose Medical Supply Co., Inc.",CA,Jesle Kuizon,800,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Desktop Computer, Network Server",2014-01-23,Unknown detailed,2011-10-01,Unknown Date,2011,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident"
496,"Robert B. Neves, M.D., Inc",CA,None,611,Theft,Laptop,2014-01-24,Unknown detailed,2011-05-08,Unknown Date,2011,Theft
497,VA Caribbean Healthcare System,PR,None,6006,Theft,Paper,2014-06-19,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.",2011-03-30,Unknown Date,2011,Theft
498,Spartanburg Regional Healthcare System,SC,None,400000,Theft,Desktop Computer,2014-01-23,Unknown detailed,2011-03-28,Unknown Date,2011,Theft
499,Saint Joseph - Berea,KY,None,1986,"Theft, Loss","Other Portable Electronic Device, Other",2014-04-23,Unknown detailed,2011-04-14,Unknown Date,2011,"Theft, Loss"
500,Navos,WA,None,2700,Unknown,Paper,2014-01-23,Unknown detailed,2011-03-15,Unknown Date,2011,Unknown
501,"Dunes Family Health Care, P.C",OR,Lower Umpqua Hospital,17000,Theft,"Other Portable Electronic Device, Other",2014-02-14,Unknown detailed,2011-03-11,Unknown Date,2011,Theft
502,"Metropolitan Community Health Services, Inc.",NC,None,1263,Unknown,E-mail,2014-04-23,Unknown detailed,2011-05-18,Unknown Date,2011,Unknown
503,"Gail Gillespie and Associates, LLC",LA,None,2000,Theft,"Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,Unknown detailed,2011-06-25,Unknown Date,2011,Theft
504,Health Plan of San Mateo,CA,None,694,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2011-04-25,Unknown Date,2011,Unauthorized Access/Disclosure
505,Department of Health Care Policy and Financing,CO,Department of Personnel and Administration,3589,Loss,Other,2014-02-14,Unknown detailed,2011-05-06,Unknown Date,2011,Loss
506,Yanez Dental Corporation,CA,None,10190,Theft,"Desktop Computer, Network Server",2014-01-23,Unknown detailed,2011-05-22,Unknown Date,2011,Theft
507,The Mount Sinai Hospital,NY,None,712,Theft,Laptop,2014-06-02,"Two unencrypted laptop computers containing the electronic protected health information (ePHI) of 712 individuals were stolen from the covered entity's (CE) office.  The ePHI included names, dates of birth, social security numbers, diagnostic reports, and demographic information.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE improved physical security by installing an exit alarm lock and surveillance camera, and implementing a policy and procedure requiring managers to monitor inappropriate use of the facility's rear exit.  The CE also inventoried its ePHI systems and adopted and implemented policies and procedures for workstation security, encryption, security awareness and training, electronic devices, and media controls.",2011-06-07,Unknown Date,2011,Theft
